time_s,power_total_w,power_active_w
5.449983291327953e-07,72.135,60.587384905660386
0.012584926967974752,72.135,60.587384905660386
0.023785664001479745,72.135,60.587384905660386
0.03486475098179653,68.93,57.38238490566039
0.045269339985679835,68.93,57.38238490566039
0.07316415099194273,68.93,57.38238490566039
0.08358804899035022,68.93,57.38238490566039
0.09429182595340535,68.93,57.38238490566039
0.1048265999997966,68.93,57.38238490566039
0.11531306197866797,68.93,57.38238490566039
0.12583299999823794,68.93,57.38238490566039
0.13620369299314916,63.73,52.18238490566037
0.14722512697335333,63.73,52.18238490566037
0.18569586100056767,63.73,52.18238490566037
0.19840847799787298,63.73,52.18238490566037
