time_s,power_total_w,power_active_w
1.2160162441432476e-06,11.803,1.777698924731185
0.010600319015793502,11.803,1.777698924731185
0.02095447201281786,11.803,1.777698924731185
0.031545371981337667,11.803,1.777698924731185
0.04208823898807168,11.803,1.777698924731185
0.05263393197674304,11.803,1.777698924731185
0.06300743098836392,11.803,1.777698924731185
0.07355972402729094,11.803,1.777698924731185
0.08396027999697253,12.831,2.8056989247311837
0.0944115860038437,12.831,2.8056989247311837
0.12287879100767896,12.831,2.8056989247311837
0.13328229100443423,12.831,2.8056989247311837
0.14386442699469626,12.831,2.8056989247311837
0.15426753502106294,12.831,2.8056989247311837
0.16481180797563866,12.831,2.8056989247311837
0.17531251697801054,12.831,2.8056989247311837
0.18577255099080503,12.831,2.8056989247311837
0.19625885400455445,12.831,2.8056989247311837
0.20682314498117194,14.585,4.559698924731185
0.21724314702441916,14.585,4.559698924731185
0.2278486699797213,14.585,4.559698924731185
0.23841142299352214,14.585,4.559698924731185
0.2488351630163379,14.585,4.559698924731185
0.2592485980130732,14.585,4.559698924731185
