time_s,power_w
9.760005923453718e-07,11.393
0.011045262000152434,11.393
0.021425955000268004,11.393
0.031797304000065196,11.393
0.04228511300061655,11.393
0.05265700000018114,11.393
0.06303919299989502,11.393
0.07345420100045885,11.393
0.08383221799977036,11.393
0.0942333230004806,11.324
0.10458817000017007,11.324
0.1150102789997618,11.324
0.12538229300025705,11.324
0.13589901800060034,11.324
0.14637117900019803,11.324
0.15678014800050732,11.324
0.16718516099990666,11.324
0.17758518499977072,11.324
0.18800896700031444,11.324
0.19843399599994882,11.375
0.20960884600026475,11.57
0.22134783799992874,11.57
0.2322284120000404,11.57
0.24387022800056002,11.57
0.2551034340003753,11.57
0.266374580000047,11.57
0.28205406300003233,11.57
0.29339177800011385,11.466
0.30596989000059693,11.466
0.3208598910005094,11.466
0.3319877900003121,11.466
0.34312869499990484,11.466
0.3542319819998738,11.466
0.3654391050004051,11.466
0.3786669279998023,11.466
0.3896737420000136,11.368
0.40009676000045147,11.368
0.4105510310000682,11.368
0.42111337700043805,11.368
0.4316045840005245,11.368
0.44215280800017354,11.368
0.4525887879999573,11.368
0.46305213300001924,11.368
0.47352744700037874,11.368
0.48394476600060443,11.345
0.49548854700060474,11.345
0.5098442260004958,11.345
0.5209610520005299,11.345
0.5321565880003618,11.345
0.5431214460004412,11.345
0.554211024000324,11.345
0.5677801310002906,11.345
0.5789378150002449,11.435
0.5893702499997744,11.435
0.5998342500006402,11.435
0.6103306370005157,11.435
0.6208342650006671,11.435
0.6314246830006596,11.435
0.6418917080000028,11.435
0.6522811330005425,11.435
0.6627062980005576,11.435
0.6731664380004077,11.435
0.6835529730005874,11.357
0.6940539900006115,11.357
0.7044744599998012,11.357
0.7150351750005939,11.357
0.7270281609999074,11.357
0.737649865000094,11.357
0.7480322700002944,11.357
0.7584531980000975,11.357
0.7689560160006295,11.357
0.7794737310005075,11.341
0.7899868169997717,11.341
0.8004474870003833,11.341
0.8109748619999664,11.341
0.8214492309998604,11.341
0.8320692650004275,11.341
0.8426711350002734,11.341
0.853105367000353,11.341
0.8634406470000613,11.341
0.8742243690003306,11.305
0.8845992410006147,11.305
0.8951507060000949,11.305
0.9055365670001265,11.305
0.9159229739998409,11.305
0.9263761510001132,11.305
0.9368949370000337,11.305
0.9473644170002444,11.305
0.961420172000544,11.697
0.972673076999854,11.697
0.9837397950004743,11.697
0.9946527560005052,11.697
1.0056558810001661,11.697
1.0168001110005207,11.697
1.0280635620001704,11.697
1.0390755460002765,11.697
1.0499799200006237,11.255
1.060866368000461,11.759
1.0717820240006404,11.759
1.0829109120004432,11.759
1.0938001710001117,11.759
1.1047500760005278,11.759
1.11559642300017,11.759
1.1265481790005651,11.759
1.1374955259998387,11.759
1.1485022520000712,11.759
1.1595307490006235,12.516
1.1707474320000983,12.516
1.1819546420001643,12.516
1.1933405700001458,12.516
1.204772337000577,12.516
1.216036014000565,12.516
1.2271936309998637,12.516
1.2384235200006515,12.516
1.2495498759999464,12.516
1.2607020780005769,11.293
1.2721220210005413,11.293
1.2831961960000626,11.293
1.294148001999929,11.293
1.305105530000219,11.293
1.3160952270000053,11.293
1.327223461000358,11.293
1.33831396900041,11.293
1.3493590400003086,11.207
1.3606710820004082,11.207
1.3717048970001997,11.207
1.3828702480004722,11.207
1.393952561000333,11.207
1.4062097340001856,11.207
1.417696051999883,11.207
1.4288769640006649,11.207
1.4399049049998212,11.207
1.4512306940005146,11.248
1.4626396260000547,11.248
1.473529743000654,11.287
1.4849624960006622,11.287
1.4961128830000234,11.287
1.507114239000657,11.287
1.5185550710002644,11.287
1.5295620249999047,11.287
1.5408286290003161,11.327
1.5519655879998027,11.327
1.563098964999881,11.327
1.5743081390000953,11.327
1.5856190570002582,11.327
1.5967722080004023,11.327
1.607933318000505,11.327
1.619031480000558,11.327
1.6302883730004396,11.327
1.6413164249997862,11.269
1.6528927640001712,11.269
1.6644321960002344,11.269
1.6755520480000996,11.269
1.6866616349998367,11.416
1.69810277400029,11.416
1.7091718570000012,11.416
1.7201617880000413,11.416
1.7314732250006273,11.416
1.7426492320000762,11.384
1.7539598909997949,11.384
1.764957215999857,11.384
1.7759798910001336,11.384
1.7873647540000093,11.384
1.798684021000554,11.384
1.8098734350005543,11.384
1.8212294989998554,11.384
1.8324667840006441,11.226
1.8439770700006193,11.226
1.8553335410006184,11.226
1.8664627180005482,11.226
1.8778181449997646,11.226
